原文件名,第一行内容,新文件名
第1101集 “盲目”自信才是人类本能 99.txt,“盲目”自信才是人类本能 99_的人都被洗脑了！ ———————— 夷夏殊形，天生我贵； 红毛鄙陋，唐韵自雄。 玄奘西行，笔诛异貌； 晚清虽敝，犹斥鬼戎。 殖民遗毒，摧心毁骨； 反思成疾，丧志卑躬。 迷途当返，重拾天授； 华夏精魄，岂付东风？,第1101集 盲目自信才是人类本能_99的人都被洗脑了.txt
第1102集 【文化探索】中国神仙体系背后的.txt,【文化探索】中国神仙体系背后的秘密。 从拖神习俗、灶王爷、城隍和龙王，管窥中国神仙体系如何塑造我们的文化底色。,第1102集 文化探索_中国神仙体系背后的秘密.txt
第1103集 【衣冠何以载道】衣冠重整：明代.txt,【衣冠何以载道】衣冠重整：明代服饰与华夏认同！ —— 《衣冠鉴》 胡尘百年染衣冠， 朱明重整旧河山。 经纬藏尽华夷辩， 纹样深铭礼乐磐。 可叹今人逐异服， 谁识衿袖有忠肝？ 若使阳明观此世， 必言心贼胜夷蛮！,第1103集 衣冠何以载道_衣冠重整_明代服饰与华夏认同.txt
第1104集 中国=最大汉文化团体！不接受反.txt,中国=最大汉文化团体！不接受反驳！ ———————— 中原浩气贯长虹，衣冠千年百脉同。 莫道罗衣无古意，且看新妆有春风。 酒稀偏引商贾计，花好何须史册功？ 但使云裳承雨露，百川归海自朝东。,第1104集 中国等于最大汉文化团体_不接受反驳.txt
第1105集 你的眼睛够亮吗？3秒识破互联网.txt,你的眼睛够亮吗？3秒识破互联网 屁股不正 群体 —————————— 群虻集矢汉旌残，谁解孤峰立雪寒？ 指鹿声喧槐国议，三人市虎豹章冠。 茧房织就霓裳幻，狼燧燃成星火澜。 幼儿园前豕鹿辨，标题阵里剑霜酸。 楚狂歌裂千重幕，秦镜光寒万点丹。 莫道浮云能蔽日，星河不语自凭栏。,第1105集 你的眼睛够亮吗_3秒识破互联网屁股不正群体.txt
第1106集 你还在相信西方中心论吗？快来看.txt,你还在相信西方中心论吗？快来看看这个！ 西学东渐，崇洋渐深； 史观偏执，自抑日沉。 考据求真，当破迷障； 逻辑为刃，可斩妄尊。 华夏正道，源流自证； 春秋笔法，虚实须分。 祛魅正本，重光汉统； 鉴往知来，魂铸昆仑。,第1106集 你还在相信西方中心论吗_快来看看这个.txt
第1107集 元史迷雾：为何荧屏难觅大元踪迹.txt,元史迷雾：为何荧屏难觅大元踪迹 《元鉴》 铁骑曾惊欧亚风， 文明未筑九霄宫。 权争暗涌金帐里， 税蠹明摧黔首中。 西去王孙融异俗， 南来帝子滞华嵩。 百年霸业如朝露， 留与荧屏话塞鸿。,第1107集 元史迷雾_为何荧屏难觅大元踪迹.txt
第1108集 先生 之争：被遗忘的尊称本义！.txt,先生 之争：被遗忘的尊称本义！ 《正名箴》 尊称本自杏坛生，岂料今成男女争。 绛帐昔闻传道统，青衿谁解辨浊清？ 效胡末学移真义，守故愚人訾旧名。 若使宣文逢此世，可堪竖子妄讥评？,第1108集 先生之争_被遗忘的尊称本义.txt
第1109集 冷知识爆炸·外国人双眼皮其实是.txt,冷知识爆炸·外国人双眼皮其实是眼窝缺脂肪 —— 【水调歌头·容鉴 】 秦俑彩痕在，汉月照衣冠。 谁言单眼证，血统妄分藩。 本有重眸星汉，偏作胡沙离散，诡计裂轩辕。 皮下脂深浅，岂可定忠奸。 眉弓影，窝壑现，误称鸾。 欧风东渐，偏把沟壑作双鸾。 三十春秋面相，百代语言肌理，心相刻容颜。 莫被皮囊惑，青史自昭然。,第1109集 冷知识爆炸_外国人双眼皮其实是眼窝缺脂肪.txt
第1110集 列强无不怀念他鞑大清！无不害怕.txt,列强无不怀念他鞑大清！无不害怕中国复制明朝模式！ 「沁园春·衣鉴 」 霓裳非裳，衣冠非冠，暗涌惊涛。 看西风卷幕，强裁华服；东流遗韵，妄断旌旄。 辫锁重楼，尘蒙汉月，忍见残妆饰旧朝。 凭谁问，这绮罗经纬，可缚龙韬？ 须知服色昭昭，是青史凝成血未消。 念赵武胡服，图强变法；苏秦纵佩，终破连交。 衣载春秋，纹藏兴替，岂容他人代刻雕？ 凝眸处，待重理云锦，再织今朝。,第1110集 列强无不怀念他鞑大清_无不害怕中国复制明朝模式.txt
