文件名,第一行内容
第1151集 ❓满服 = 汉服？满服凭什么不.txt,❓满服 = 汉服？满服凭什么不能做自己？ ————————— 服章载道，胡越同簪？ 指鹿混珠，夷夏堪叹。 金瓯缺角，欺麟辱鸾； 满裳非汉，禹甸何安！
第1152集 围观表演的艺术·古人早就悟透了.txt,围观表演的艺术·古人早就悟透了 七言格律·讽网络戾气 鼓舌摇唇浪卷沙，断章取义竞浮槎。 移花接木妖氛炽，买椟还珠笑齿牙。 冷眼观潮心自定，虚舟渡海意偏赊。 请君试看嵇康锻，炉火纯青映晚霞。
第1153集 孩子学舞前必看！求偶舞蹈竟藏在.txt,孩子学舞前必看！求偶舞蹈竟藏在这些常见舞种里 楚宫细腰竞妖妍，周庭八佾祀昊天 兰台抚掌迷蝶乱，濮上清歌引鹤眠 未冠何堪习曼衍，及笄方许弄清弦 莫将燕舞充雅乐，犹待灵均问九渊
第1154集 汉奸最早竟是汉代人？清代篡改定.txt,汉奸最早竟是汉代人？清代篡改定义黑幕曝光！ #汉奸 —————————— 阉竖西行污汉关，始将奸字烙江山。 胡尘漫卷中行月，胡语偷更忠义班。 指鹿翻云成鹿马，衣冠易主作衣冠。 千秋史笔丹青鉴：叛祖终归是叛奸！
第1155集 清代服饰强贴 汉服 标签｜谁在.txt,清代服饰强贴 汉服 标签｜谁在绑架我们的历史记忆？ 购物平台长期将 清明女装 标注为 汉服 标签，通过高价购买搜索位强行推广；商家刻意隐匿模特、仅展示服装局部（如绣片），违背常规服装销售逻辑，暴露心虚心态。这种异常营销投入与产出不匹配，背后存在推手操控。现象本质是历史记忆问题——清代服饰被包装成 汉服 推广，实为对民族压迫史的淡化，部分群体更以 少 民 族 身份绑架舆论。 ———————— 鹿窃衣冠
第1156集 清朝实控=洋人收税？紫禁城驻军.txt,清朝实控=洋人收税？紫禁城驻军竟算“领土”！ ———————— 普天之下莫非王土， 率土之滨莫非王臣。
第1157集 清朝的钱去哪了？民国：穷到全员.txt,清朝的钱去哪了？民国：穷到全员当买办！真相太扎心！ 王朝更替本质是经济清算：中国历史改朝换代的核心是打破财富垄断，通过暴力革命重新分配社会资源，解决贫富分化僵局。 清朝-民国过渡存在清算缺陷：因清帝和平逊位，未能彻底查抄府库、追索海外资产，导致巨额财富（尤其是全球转移资产）未被收回。 民国贫困根源：未清算的清朝财富遗存海外，使民国政府极度贫穷，迫使精英阶层沦为买办，无力自主发展。 清朝财富积累真相：
第1158集 满清没干什么好事，就要不停的批.txt,满清没干什么好事，就要不停的批判它
第1159集 [吃瓜蒙主]001虚假的同志.txt,[吃瓜蒙主]001虚假的同志和真正的同志
第1160集 万物皆来自永乐大典，是黑子们.txt,万物皆来自永乐大典，是黑子们的专用话术[吃瓜蒙主]
第1161集 上帝的借用，琵琶的西来 10.txt,上帝的借用，琵琶的西来
第1162集 中国哲学：毛选（毛泽东选集）.txt,中国哲学：毛选（毛泽东选集）可实践接地气
第1163集 为什么交趾也要偷汉服？外因助.txt,为什么交趾也要偷汉服？外因助力汉服复兴。[吃瓜蒙主]
第1164集 为什么欧洲常出女王？实力和中.txt,为什么欧洲常出女王？实力和中国女皇有得比吗？[吃瓜蒙主]
第1165集 五胡乱华成五胡入华，谁在偷摸.txt,五胡乱华成五胡入华，谁在偷摸篡改历史[吃瓜蒙主]
第1166集 人口增加清功德？横向对比增最.txt,人口增加清功德？横向对比增最少[吃瓜蒙主]
第1167集 人殉人祭制度的消亡，商周管理.txt,人殉人祭制度的消亡，商周管理制度大变革，明代政争朱元璋背锅[吃瓜蒙主]
第1168集 儒家本质与发展，百家融入儒家.txt,儒家本质与发展，百家融入儒家中； 明代经济问题，铸币权丢失是重点#历史
第1169集 全面郡县与郡国并行，嬴政刘邦.txt,全面郡县与郡国并行，嬴政刘邦谁更胜一筹？
第1170集 列强入侵老百姓为什么不搭手？.txt,列强入侵老百姓为什么不搭手？
第1171集 周公构建周礼，孔子开创教育.txt,周公构建周礼，孔子开创教育
