原文件名,第一行内容,新文件名
第901集 99_人不知道的学者真相 ——.txt,99_人不知道的学者真相 ——媒体永远不会告诉你的事！ 《学林叹》 ： 媒体择贤如选秀， 网红学者满堂春。 真儒埋首青灯下， 荆玉沉沙谁问津？ 西学框架成桎梏， 东风无力百花贫。 愿借董狐千秋笔， 重开百家争鸣新。,第901集 学者真相_媒体永远不会告诉你的事.txt
第902集 99_人不知道的汉民族扩张史！.txt,99_人不知道的汉民族扩张史！结果太震撼！！！ ———————— 汉裔兴邦，耕织立本； 雄姿智勇，婚聘称尊。 商旅遗泽，基因证史； 唯物求真，科学破妄。 邻邦血胤，多承父系； 铁证如山，岂容讳言？,第902集 汉民族扩张史_结果太震撼.txt
第903集 《文化血脉觉醒指南丨父母自信值.txt,《文化血脉觉醒指南丨父母自信值决定孩子认同度—— 卞璧荆山血泪盈， 嵇琴广陵断弦惊。 孟邻三徙成圭臬， 颜巷一瓢启瞽明。 自信能传星火炽， 自卑终使铎铃声。 莫待后昆询祖脉， 方知渊鉴在躬行。,第903集 文化血脉觉醒_父母自信值决定孩子认同度.txt
第904集 《给大棒还是撒糖？》解码古典中.txt,《给大棒还是撒糖？》解码古典中国思想驯化的暴力美学！ # 昔明王执戟，万邦衔印。真理虽远，必赴华疆。 今门户洞开，礼包如山，反招轻贱； 昔铁骑裂土，金印一粒，竞效犬忠。 嗟乎！甜枣盈筐失其珍，大棒藏匣丧其威。 达达窃鼎，终成异域之号； 毛选渡海，曾是红皮照洋。 同化虽难，岂碍驯化？ 惟惧恩重成仇，德薄反尊。,第904集 大棒或撒糖_古典中国思想驯化的暴力美学.txt
第905集 《被封印的帝王相》-从斜八字脸.txt,《被封印的帝王相》-从斜八字脸看满清得位不正与小人行径#丢人 ——昔明太祖龙章凤姿，台北故宫藏其本真；清匪本长白山下狩獭之族，混同江畔饮血之氓。值明室衰微，妖氛蔽日，东胡鞑虏窃据神京，污我冠裳，乱我彝伦。 惧正统不继，乃以笔墨易其骨相。斜八字之面，非天生异象，实政治图谋。祭祀虽勤，心魔难除，遂改其容以防魂归。 观夫龙象图示，宋帝顶生双角，面缀星纹，此祥瑞之征，非丑陋之谓。然清人作画，刻意丑化，使英主.txt,第905集 被封印的帝王相_满清得位不正与小人行径.txt
第906集 「吃瓜蒙主」简易说易：3分钟略.txt,「吃瓜蒙主」简易说易：3分钟略懂周易底层逻辑 #吃瓜蒙主 #周易 #伏羲码 #知识汇编 #六十四卦 #卜筮 #科学 #数学 #八进制 #六十进制 #六十四进制 #模型 #天文 #历法 #哲学 #象 #理 #易 #术数 —— 【文枢衍易录】 河图启秘，洛书呈祥。文王演卦于羑里，周公辑爻于明堂。溯其源则星躔可考，究其理则数术昭彰。阴阳分而两仪立，刚柔迭而四象张。八卦回旋，蕴天机于六画；九畴序列，藏玄理于.txt,第906集 简易说易_3分钟略懂周易底层逻辑.txt
第907集 【古人真会玩】宋代房梁贴满“花.txt,【古人真会玩】宋代房梁贴满“花园子”？——拒绝日式极简贫困风 —— 《满庭芳·鉴伪》 朱梁画栋，花窗叠影，宋家玉砌千重。 簪花郎鬓，争艳笑春风。 谁道贫斋素壁，偷换却、古韵从容。 东瀛术，仿成半吊，浑作雅人崇。 浮华皆妄语，清时俗艳，宋世雅浓。 剩残简断章，谬种流踪。 莫信营销巧舌，空枵腹、假借遗踪。 归来矣，重拾翠钿，休使蒙尘封。,第907集 古人真会玩_宋代房梁贴满花园子.txt
第908集 【文明DNA检测报告】西方史书.txt,【文明DNA检测报告】西方史书为何经不起推敲？ #学术殖民 ++++++++++ 泥板荒唐证史难， 岁编华夏有公鼾。 胡郎跪考疑周鼎， 洋鬼偷天改汉官。 竹简春秋诛伪契， 碳灰日月照真鞍。 莫将祖典轻抛却， 血铸青铜镜未寒。,第908集 文明DNA检测报告_西方史书为何经不起推敲.txt
第909集 【汉亡真相】强盛帝国为何瞬间崩.txt,【汉亡真相】强盛帝国为何瞬间崩塌？｜经济分化如何摧毁王朝根基 ——《汉阙谣》 巍巍汉阙入云霄，铁甲曾经镇八荒。 谁知金殿基石裂，朱门酒肉掩饥肠。 五铢散尽田畴改，孝廉路上尽豪强。 黄巾非是妖术乱，实为黔首求存粮。 强兵百万终何用？民心已似秋霜凉。 今人若读兴亡史，莫只看他表面强。 #经济危机,第909集 汉亡真相_经济分化如何摧毁王朝根基.txt
第910集 丛林世界的外交语言——听懂“丛.txt,丛林世界的外交语言——听懂“丛林世界”的语言｜ 国际交往中没人告诉你的人性真相 《天命威慑赋》 观夫四夷之性，习于丛林。力强则畏，德薄何亲？ 昔者持礼让而为说，彼以怯懦而相侵。 鞭笞未至，猖狂不已；糖果偶予，俯首如禽。 故知蛮貊难通大义，伪史刀兵与黄金。 若夫谦谦君子，欲以长策谋远； 咄咄豺狼，偏执眼前以逞。 天命既在，岂容条约轻丧？ 东风所指，方使枭雄肃襟。 是故国无威慑，虽盟不固； 邦有雄略，何.txt,第910集 丛林世界的外交语言_人性真相.txt
第911集 东瀛幻影：被矮化的汉唐幻影——.txt,东瀛幻影：被矮化的汉唐幻影——别再吹 汉唐在日本 了！ 《鉴东瀛文化幻象有感》 衣冠南渡觅唐风， 矮檐窄袖失真容。 工匠竭摹形愈拙， 文明深植气方雄。 莫将赝鼎充周鼎， 且破执迷启鸿蒙。 东海烟波千载涌， 何须异域问遗踪？,第911集 东瀛幻影_被矮化的汉唐幻影.txt
第912集 从母系到父系，社会变迁背后的生.txt,从母系到父系，社会变迁背后的生育与供养秘密，谁的孩子更易存活 玄鸟生商只认巢，鲛珠泣血育灵苗。 麟趾空寻千涧鹿，璋瓦独掌九霄潮。 一脉能开星宿海，万疆终化铜山镣。 莫道父系天纲固，血亲深处锁龙桥。,第912集 母系到父系_生育与供养秘密.txt
第913集 出土文物打脸公知：中国外科早就.txt,出土文物打脸公知：中国外科早就超乎想象 岐黄渊薮，刀圭初萌。 公知妄议，圭臬蒙尘。 宋慈遗典，仵作验真。 脏腑图示，脉络可循。 金石为器，巧夺天工。 今古相照，源流自分。 华佗神术，岂效胡人？ 数典忘祖，实为不仁。 考古证史，铁骨铮铮。 愿启来者，重振医魂。,第913集 出土文物打脸公知_中国外科超乎想象.txt
第914集 别再用西方标尺量中国历史！考古.txt,别再用西方标尺量中国历史！考古挖出的真相让人沉默！ —— 禹鼎蒙尘西槊横， 强将周礼附藩旌。 岂知殷墟熔金火， 早照秦关郡县灯。 莫效鹦鹉嚼残粟， 当追班马裂缯绳。 断代自有轩辕尺， 何乞欧罗断枯荆？,第914集 别再用西方标尺量中国历史_考古真相.txt
第915集 唐诗宋词元曲明小说「清条约」，.txt,唐诗宋词元曲明小说「清条约」，晒书三日+撒盐辟邪：清条约全集 三卷遗编血泪涔，金缯割尽九州沉。 包茅不入周王贡，舆璧空输赵主琛。 纸上鲸波焚鼎祚，墨间狐媚蠹天心。 汗青若照瀛台月，犹照当年五跪深！,第915集 清条约_晒书三日加撒盐辟邪.txt
第916集 女官是干什么的？ 清为什么没有.txt,女官是干什么的？ 清为什么没有女官了？ #满清奴隶制 奴隶制管理体系下女性地位全面沦丧 皇后权力被内务府 宗人府架空， 丧失人事 惩戒 财政权 后宫妃嫔待遇等同奴婢 （通铺居住、裹毯承宠）,第916集 女官是干什么的_清为什么没有女官.txt
第917集 如果西方都是抄的，那怎么我们会.txt,如果西方都是抄的，那怎么我们会落后西方呢？ 倒退三百年！满清这波操作有多窒息？ #强盗文明 ——— 炎黄气脉贯沧溟，忍看胡尘蔽日星。 三百年抛青简堕，九重渊陷辫梢青。 狼烟乍起摹秦篆，血槽终存续汉庭。 莫效金鸡认朔漠，铜鉴犹照旧衣形。,第917集 如果西方都是抄的_为何我们会落后.txt
第918集 嫁妆是补足条款？聘礼是固定资产.txt,嫁妆是补足条款？聘礼是固定资产入股？婚姻本质是家族合伙创业！ 《聘仪叹》 裂帛纳聘礼非轻， 嫁妆补足辨浊清。 巴特女儿携资泣， 西周诸侯盟誓诚。 应随嫡娣非耽色， 俗易时移莫固争。 若解契约千载义， 何须斗粟毁鸳盟？,第918集 嫁妆与聘礼_婚姻本质是家族合伙创业.txt
第919集 定义权暗战・谁偷走了中国人的“.txt,定义权暗战・谁偷走了中国人的“话语权”？ ——《问鼎辞》 赤县曾持造化权，贡圈层叠定江山。 直尺割裂昆仑魄，诳语偷换禹甸天。 文字蒙尘十载误，版图赧面百年惭。 愚公莫叹移山苦，且看东风破铁关。,第919集 定义权暗战_谁偷走了中国人的话语权.txt
第920集 小清粉越反对，越证明汉服复兴戳.txt,小清粉越反对，越证明汉服复兴戳中了痛点！,第920集 汉服复兴_戳中小清粉痛点.txt
