原文件名,第一行内容,新文件名
第1002集 为什么说毛选是中国哲学的瑰宝？.txt,为什么说毛选是中国哲学的瑰宝？ 毛选——真正的哲学与实践指南。,第1002集 为什么说毛选是中国哲学的瑰宝.txt
第1003集 为何一般不称汉朝为“刘”汉？为.txt,为何一般不称汉朝为“刘”汉？为何割据和造反常举“汉”旗？ 汉祚绵长，威加海内； 群雄逐鹿，咸尊汉帜。 虽逢板荡，正统攸归； 纵至清末，犹慕汉威。 根骨所系，华夏精魂； 史册永铭，光耀千秋。 汉家旗号古今崇， 乱世群雄竞效忠。 纵使江山非旧主， 犹将正统系其中。 根深自信源流远， 史册长留赫赫功。 千载兴衰多少事， 汉魂永在贯长虹。,第1003集 为何一般不称汉朝为刘汉_为何割据常举汉旗.txt
第1004集 互联网“双面人”：身份强调与背.txt,互联网“双面人”：身份强调与背叛行为揭秘。 一个人在说一句话的时候， 先讲一下自己的什么特殊的身份， 那不好意思， 后边他要说的内容， 就是来背叛这个身份的。,第1004集 互联网双面人_身份强调与背叛行为揭秘.txt
第1005集 五胡乱华的定义是客观正义的！“.txt,五胡乱华的定义是客观正义的！“入华”叙事等论调纯属胡说八道！ #五胡乱华,第1005集 五胡乱华的定义是客观正义的_入华叙事纯属胡说八道.txt
第1006集 什么是“无孩爱猫女”？这一群体.txt,什么是“无孩爱猫女”？这一群体在想什么？ 核心点是责任感的问题 所谓的无孩是不为未来负责任 所谓爱猫呢就是不爱人、不为人 不为社会公众负责任 相当于是一个自我中心主义 只为自己好，身边的一切都不作数了 既不想将来，也不想群体，也不想社会的 这种完全自私自利的人啊。,第1006集 什么是无孩爱猫女_这一群体在想什么.txt
第1008集 从《弟子规》看扭曲的清代儿童启.txt,从《弟子规》看扭曲的清代儿童启蒙教育！ 《弟子规》本为童蒙读物， 却充满奴隶规训思想， 强调服从而非启智。 #奴化教育,第1008集 从弟子规看扭曲的清代儿童启蒙教育.txt
第1009集 从五胡乱华到明朝的智慧管理 鉴.txt,从五胡乱华到明朝的智慧管理 鉴往知来，明祖之智，斯为良方,第1009集 从五胡乱华到明朝的智慧管理.txt
第1010集 伪宋 说的背后，藏着什么不可告.txt,伪宋 说的背后，藏着什么不可告人的目的？,第1010集 伪宋说的背后_藏着什么不可告人的目的.txt
第1011集 元清统治对比与明朝战力分析！.txt,元清统治对比与明朝战力分析！ 蒙元恃武而骄，纵辔牧野； 朱明倾柱，金瓯自溃， 倭寇鲸鲵，犹掌中齑。 建州拾璧，得国太易， 阴鸷迭施，名招尽诡。 黑手廿纪，惶惶然若捧露临渊。 履冰持宝，术锢九垓！,第1011集 元清统治对比与明朝战力分析.txt
第1012集 公知如何起源的！ ——————.txt,公知如何起源的！ —————————————— 金印加身浪得名，花间海外窃虚旌。 未成蠹简疑尧典，敢毁衣冠解石盟。 考据红楼翻血史，操觚白话误苍生。 逆流自诩开新纪，竖子成名毁长城！,第1012集 公知如何起源的.txt
第1013集 农耕与游牧：两种生产方式的根本.txt,农耕与游牧：两种生产方式的根本差异。 夫农耕者，立国之本也。 春耕夏耘，秋收冬藏， 顺天时而作，得地力之养。 五谷丰登，则民无饥馑； 仓廪充实，则邦有根基。 纵商贾云集，海贸兴盛， 终不离稼穑之实。 盖农为百业之母，不可轻废也。,第1013集 农耕与游牧_两种生产方式的根本差异.txt
第1014集 古典时期中国人饮食状况揭秘：粮.txt,古典时期中国人饮食状况揭秘：粮食产量与耕作条件是关键！ 古之华夏，饮食俭朴，丰歉不均，明时粮产颇丰。 中土善用粪肥，循环不息，故田畴永续。 清季虽引新种，然汉民困于十八省，地寡人稠。 观乎村舍，中土净洁，泰西秽乱，此乃农事之别也。 盖农为国本，法异则效殊。,第1014集 古典时期中国人饮食状况揭秘_粮食产量与耕作条件.txt
第1015集 周公旦与周礼：汉文明规则的缔造.txt,周公旦与周礼：汉文明规则的缔造者 周公旦对汉文明的影响，他制定的周礼更是在奠定汉文明社会规则中起到了基石作用,第1015集 周公旦与周礼_汉文明规则的缔造者.txt
第1016集 墨家弟子集体转行？→ 天文 数.txt,墨家弟子集体转行？→ 天文 数学 矿业...他们从未离开！ 墨翟孤桐潜化烟，石渠矩度纳璇玑。 铸铁成山窥星历，雕龙作舟渡玄渊。 清穹未堕九章算，寒锋先折百工弦。 铜驼荆棘谁人泪？非关鲁壁韦编绝。,第1016集 墨家弟子集体转行_天文数学矿业从未离开.txt
第1017集 大V集体禁言事件： 互联网还有.txt,大V集体禁言事件： 互联网还有说真话的空间吗？ 舆论汹汹势未休，顶流封口使人愁。 岂因片语伤麟趾，实有重金筑蜃楼。 润物无声真手段，操戈显迹假权谋。 可怜九十年间剧，犹唱天家恩泽稠。,第1017集 大V集体禁言事件_互联网还有说真话的空间吗.txt
第1018集 太平天国：一场改变中国历史的起.txt,太平天国：一场改变中国历史的起义！ #金田起义,第1018集 太平天国_一场改变中国历史的起义.txt
第1019集 如何才能实践兼爱和众生平等呢.txt,如何才能实践兼爱和众生平等呢 墨家的兼爱与佛教的众生平等，是正确的价值观吗？如果非要去实践它，该如何实践呢？,第1019集 如何才能实践兼爱和众生平等.txt
第1020集 宋朝生活有多富足？看看蒙古奴隶.txt,宋朝生活有多富足？看看蒙古奴隶的选择就知道了！ #蒙古奴隶逃亡记,第1020集 宋朝生活有多富足_看看蒙古奴隶的选择.txt
第1021集 宗族文化探秘：为何宗族能在现代.txt,宗族文化探秘：为何宗族能在现代社会中依然存在？,第1021集 宗族文化探秘_为何宗族能在现代社会中依然存在.txt
第1022集 张居正改革为何崩盘？白银陷阱：.txt,张居正改革为何崩盘？白银陷阱：明朝竟因货币主权沦亡！,第1022集 张居正改革为何崩盘_白银陷阱明朝货币主权沦亡.txt
